105,F2/27430,Marquise,D,0.9,VVS1,EX,EX,Medium,0.649,0.58,9.42*5.02*3.26,GIA,7336541351,7300,-0.24,5548,4993.2,"Pinpoint, Surface Graining"
106,F54/26358,Marquise,F,0.9,VS1,EX,VG,None,0.593,0.57,9.42*5.31*3.15,GIA,6295905361,5100,-0.21,4029,3626.1,"Crystal, Feather, Pinpoint"
107,F218/18099,Marquise,E,0.73,VS2,EX,VG,Faint,0.641,0.59,8.39*4.79*3.07,GIA,1329783070,4000,-0.22,3120,2277.6,Crystal
108,F175/21780,Marquise,E,0.7,VS2,EX,VG,None,0.583,0.59,9.53*4.70*2.74,GIA,2314608771,4000,-0.22,3120,2184,"Crystal, Feather"
109,F46/12172,Marquise,F,0.7,VS2,EX,VG,Medium,0.621,0.61,9.52*4.47*2.77,GIA,7288872765,3800,-0.22,2964,2074.8,"Feather, Cavity"
110,F3/11309,Marquise,G,0.7,VS2,VG,VG,Medium,0.604,0.58,9.37*4.59*2.77,GIA,1317095118,3600,-0.22,2808,1965.6,Feather
111,F111/10881,Marquise,D,0.57,VS2,G,G,Faint,0.711,0.61,7.69*4.22*3.00,GIA,3295100395,2800,-0.24,2128,1212.96,"Twinning Wisp, Chip"
112,F277/8280,Marquise,J,0.53,VVS1,EX,VG,Medium,0.614,0.62,8.82*4.11*2.53,GIA,2326293600,2000,-0.24,1520,805.6,Feather
113,F198/8910,Marquise,I,0.52,VS1,G,G,None,0.656,0.6,7.07*4.29*2.81,GIA,1136294376,2000,-0.22,1560,811.2,"Crystal, Feather, Indented Natural"
114,F106/9450,Marquise,E,0.51,SI1,VG,G,Faint,0.648,0.58,7.79*4.21*2.73,GIA,2307035562,2300,-0.24,1748,891.48,Feather
115,F278/12516,Marquise,D,0.5,VVS1,EX,VG,Medium,0.531,0.62,8.94*4.35*2.31,GIA,7338017774,3400,-0.24,2584,1292,"Feather, Cavity"
116,F145/11232,Marquise,E,0.5,VVS2,G,VG,Faint,0.607,0.58,7.22*4.25*2.58,GIA,6292323582,3000,-0.24,2280,1140,"Pnpoint, Cavity, Feather, Chip"
117,F112/8775,Marquise,E,0.5,SI1,VG,G,None,0.735,0.55,7.34*3.94*2.90,GIA,6282037094,2300,-0.24,1748,874,Feather
118,F115/9477,Marquise,G,0.5,VS1,VG,G,None,0.666,0.58,7.54*4.11*2.74,GIA,6262659137,2400,-0.24,1824,912,"Crystal, Feather, Pinpoint, Indented Natural"
119,F82/6300,Marquise,H,0.5,VS1,VG,VG,Faint,0.578,0.59,8.41*4.20*2.43,GIA,6311719460,2200,-0.24,1672,836,Cloud
120,F178/8910,Marquise,F,0.47,VS2,G,G,None,0.72,0.57,7.29*3.95*2.84,GIA,3295323198,2000,-0.24,1520,714.4,"Crystal, Feather, Cavity"
121,F121/7020,Marquise,D,0.46,SI1,VG,G,Strong,0.597,0.63,7.96*4.07*2.43,GIA,3295186681,1900,-0.24,1444,664.24,Cavity
122,F126/6669,Marquise,E,0.46,SI1,G,G,Medium,0.674,0.49,7.44*4.06*2.73,GIA,3295100354,1800,-0.24,1368,629.28,"Twinning Wisp, Feather"
123,F117/10881,Marquise,D,0.44,VVS1,VG,VG,None,0.637,0.59,7.71*3.89*2.48,GIA,1298570703,2900,-0.24,2204,969.76,"Pinpoint, Cavity, Feather, Indented Natural"
124,F103/9288,Marquise,E,0.44,VS1,G,G,Faint,0.67,0.62,6.66*4.05*2.71,GIA,2296252876,2200,-0.24,1672,735.68,"Cavity, Feather, Pinpoint"
125,F139/7722,Marquise,G,0.44,VS1,G,VG,None,0.57,0.54,8.39*4.06*2.31,GIA,7302034717,2000,-0.24,1520,668.8,"Crystal, Feather"
126,F179/5940,Marquise,G,0.44,SI2,G,G,Faint,0.714,0.52,8.01*3.63*2.59,GIA,6305058865,1400,-0.2,1120,492.8,Feather
127,F125/8424,Marquise,E,0.43,VS1,G,G,None,0.581,0.61,7.50*4.15*2.41,GIA,6291252860,2200,-0.24,1672,718.96,"Feather, Cloud"
128,F127/8073,Marquise,F,0.43,VS1,EX,VG,None,0.653,0.63,6.88*4.02*2.62,GIA,6291099765,2100,-0.24,1596,686.28,Cloud
129,F147/9828,Marquise,E,0.42,VVS1,EX,G,None,0.701,0.57,6.67*3.92*2.75,GIA,6302101695,2600,-0.24,1976,829.92,"Cavity, Feather, Indented Natural"
130,F177/8775,Marquise,G,0.42,VVS1,G,G,Medium,0.563,0.61,7.81*3.87*2.18,GIA,6292404037,2300,-0.24,1748,734.16,"Chip, Feather, Extra Facet"
131,F119/9126,Marquise,D,0.41,VS1,G,G,None,0.615,0.67,6.78*4.05*2.49,GIA,2297490408,2400,-0.24,1824,747.84,"Crystal, Pinpoint"
132,F61/8658,Marquise,D,0.41,VS1,G,G,Very Strong,0.752,0.62,7.67*3.55*2.67,GIA,2298253628,2400,-0.24,1824,747.84,"Feather, Pinpoint"
133,F100/7560,Marquise,D,0.41,SI1,EX,G,None,0.631,0.57,6.88*3.93*2.48,GIA,5296569845,1900,-0.24,1444,592.04,Feather
134,F149/8073,Marquise,E,0.41,VS2,G,G,None,0.7,0.58,6.48*3.97*2.78,GIA,5296748738,2100,-0.24,1596,654.36,"Twinning Wisp, Feather"
135,F129/7722,Marquise,F,0.41,VS2,EX,VG,None,0.65,0.54,6.96*3.99*2.59,GIA,7308101657,2000,-0.24,1520,623.2,Knot
136,F51/4910,Marquise,D,0.4,VVS1,EX,VG,Medium,0.607,0.56,7.84*3.83*2.33,GIA,6325520016,2900,-0.24,2204,881.6,"Pinpoint, Feather, Cavity"
137,F6/5130,Marquise,D,0.4,VVS1,EX,VG,Medium,0.67,0.56,7.84*3.61*2.42,GIA,2198888216,2900,-0.24,2204,881.6,Feather
138,F120/9126,Marquise,D,0.4,VS1,G,G,None,0.765,0.56,6.78*3.60*2.75,GIA,6291966733,2400,-0.24,1824,729.6,"Cavity, Pinpoint"
139,F199/8514,Marquise,D,0.4,SI2,EX,VG,Faint,0.629,0.61,7.52*3.85*2.42,GIA,6302806175,1700,-0.24,1292,516.8,Feather
140,F140/5616,Marquise,H,0.4,SI1,EX,G,None,0.616,0.61,6.74*3.94*2.43,GIA,1298437339,1500,-0.22,1170,468,Feather
141,F154/7776,Marquise,F,0.39,VS2,VG,G,None,0.727,0.6,6.96*3.57*2.59,GIA,5293748655,1500,-0.2,1200,468,"Cavity, Feather"
142,F180/11385,Marquise,D,0.32,VVS1,VG,VG,Faint,0.583,0.59,6.68*3.85*2.25,GIA,7283817482,2300,-0.2,1840,588.8,"Pinpoint, Cavity"
143,F141/6318,Marquise,G,0.3,VVS1,G,G,None,0.64,0.64,6.40*3.67*2.35,GIA,5303034733,1700,-0.2,1360,408,"Indented Natural, Cavity, Extra Facet"
144,F233/16974,Pear,I,0.91,VS2,VG,G,None,0.691,0.56,7.32*5.29*3.66,GIA,1172287891,3800,-0.22,2964,2697.24,"Cloud, Crystal, Feather, Indented Natural, Natural, Extra Facet"
145,F68/7560,Pear,K,0.81,VVS2,VG,VG,Medium,0.654,0.58,7.97*5.15*3.37,GIA,2267532209,1900,-0.24,1444,1169.64,Cloud
146,F172/18153,Pear,D,0.71,VVS2,EX,F,Faint,0.588,0.57,7.88*5.14*3.02,GIA,3315007017,4600,-0.24,3496,2482.16,"Cloud, Pinpoint, Surface Graining"
147,F142/16632,Pear,E,0.7,VS2,VG,G,Strong,0.646,0.58,7.69*4.78*3.09,GIA,2237412281,4000,-0.24,3040,2128,"Twinning Wisp, Cavity"
